region,lat,lon,temperature,dayNight,precip,traffic,severity,cnt
"37.01,-113.01",37.01,-113.01,< 80,Day,False,True,6,3
"37.01,-113.01",37.01,-113.01,< 80,Night,False,False,10,5
"37.01,-113.01",37.01,-113.01,80+,nan,False,True,6,3
"37.01,-113.01",37.01,-113.01,80+,Night,False,True,0,0
"37.01,-113.01",37.01,-113.01,80+,Day,False,False,6,3
"37.01,-113.45",37.01,-113.45,< 80,Night,False,False,2,1
"37.01,-113.45",37.01,-113.45,< 80,Day,False,False,8,4
"37.01,-113.45",37.01,-113.45,<= 32,Day,True,True,0,0
"37.01,-113.45",37.01,-113.45,<= 32,Day,True,False,0,0
"37.01,-113.45",37.01,-113.45,<= 32,Day,False,True,0,0
"37.01,-113.45",37.01,-113.45,<= 32,Night,True,False,0,0
"37.01,-113.45",37.01,-113.45,<= 32,Night,False,True,0,0
"37.01,-113.45",37.01,-113.45,<= 32,Night,False,False,0,0
"37.01,-113.45",37.01,-113.45,< 80,Day,True,True,0,0
"37.01,-113.45",37.01,-113.45,< 80,Day,False,True,0,0
"37.01,-113.45",37.01,-113.45,< 80,Night,True,True,0,0
"37.01,-113.45",37.01,-113.45,< 80,Night,True,False,0,0
"37.01,-113.45",37.01,-113.45,< 80,Night,False,True,0,0
"37.01,-113.45",37.01,-113.45,80+,Day,True,True,0,0
"37.01,-113.45",37.01,-113.45,80+,Day,True,False,0,0
"37.01,-113.45",37.01,-113.45,80+,Day,False,True,0,0
"37.01,-113.45",37.01,-113.45,80+,Day,False,False,0,0
"37.01,-113.45",37.01,-113.45,80+,Night,True,True,0,0
"37.01,-113.45",37.01,-113.45,80+,Night,False,True,0,0
"37.01,-113.45",37.01,-113.45,80+,Night,False,False,0,0
"37.01,-113.45",37.01,-113.45,< 80,Day,True,False,0,0
"37.01,-113.45",37.01,-113.45,80+,Night,True,False,0,0
"37.01,-113.45",37.01,-113.45,<= 32,Night,True,True,0,0
"37.01,-113.45",37.01,-113.45,<= 32,Day,False,False,2,1
"37.01,-113.55",37.01,-113.55,< 80,Day,False,False,4,2
"37.01,-113.55",37.01,-113.55,< 80,Night,False,False,6,3
"37.01,-113.55",37.01,-113.55,<= 32,Night,True,False,0,0
"37.01,-113.55",37.01,-113.55,<= 32,Night,False,True,0,0
"37.01,-113.55",37.01,-113.55,<= 32,Day,False,False,0,0
"37.01,-113.55",37.01,-113.55,80+,Night,False,False,0,0
"37.01,-113.55",37.01,-113.55,80+,Night,False,True,0,0
"37.01,-113.55",37.01,-113.55,80+,Night,True,False,0,0
"37.01,-113.55",37.01,-113.55,80+,Night,True,True,0,0
"37.01,-113.55",37.01,-113.55,80+,Day,False,False,0,0
"37.01,-113.55",37.01,-113.55,80+,Day,False,True,0,0
"37.01,-113.55",37.01,-113.55,<= 32,Night,False,False,0,0
"37.01,-113.55",37.01,-113.55,< 80,Day,True,True,0,0
"37.01,-113.55",37.01,-113.55,80+,Day,True,False,0,0
"37.01,-113.55",37.01,-113.55,80+,Day,True,True,0,0
"37.01,-113.55",37.01,-113.55,< 80,Night,False,True,0,0
"37.01,-113.55",37.01,-113.55,< 80,Night,True,False,0,0
"37.01,-113.55",37.01,-113.55,< 80,Night,True,True,0,0
"37.01,-113.55",37.01,-113.55,< 80,Day,False,True,0,0
"37.01,-113.55",37.01,-113.55,< 80,Day,True,False,0,0
"37.01,-113.55",37.01,-113.55,<= 32,Day,False,True,0,0
"37.01,-113.55",37.01,-113.55,< 80,nan,True,False,2,1
"37.01,-113.55",37.01,-113.55,<= 32,Night,True,True,0,0
"37.01,-113.55",37.01,-113.55,<= 32,Day,True,True,0,0
"37.01,-113.55",37.01,-113.55,80+,nan,False,False,2,1
"37.01,-113.55",37.01,-113.55,< 80,nan,False,False,4,2
"37.01,-113.55",37.01,-113.55,<= 32,Day,True,False,0,0
"37.01,-113.67",37.01,-113.67,<= 32,Night,True,False,0,0
"37.01,-113.67",37.01,-113.67,<= 32,Night,True,True,0,0
"37.01,-113.67",37.01,-113.67,<= 32,Day,False,False,0,0
"37.01,-113.67",37.01,-113.67,<= 32,Night,False,False,0,0
"37.01,-113.67",37.01,-113.67,80+,Day,False,False,4,2
"37.01,-113.67",37.01,-113.67,<= 32,Day,False,True,0,0
"37.01,-113.67",37.01,-113.67,< 80,Day,True,True,0,0
"37.01,-113.67",37.01,-113.67,< 80,Day,True,False,0,0
"37.01,-113.67",37.01,-113.67,< 80,Day,False,True,0,0
"37.01,-113.67",37.01,-113.67,80+,Night,True,False,0,0
"37.01,-113.67",37.01,-113.67,< 80,Night,False,True,0,0
"37.01,-113.67",37.01,-113.67,80+,Day,True,True,0,0
"37.01,-113.67",37.01,-113.67,80+,Day,True,False,0,0
"37.01,-113.67",37.01,-113.67,80+,Day,False,True,0,0
"37.01,-113.67",37.01,-113.67,80+,Night,True,True,0,0
"37.01,-113.67",37.01,-113.67,< 80,Day,False,False,12,5
"37.01,-113.67",37.01,-113.67,<= 32,Day,True,True,0,0
"37.01,-113.67",37.01,-113.67,<= 32,Day,True,False,0,0
"37.01,-113.67",37.01,-113.67,<= 32,nan,False,False,2,1
"37.01,-113.67",37.01,-113.67,80+,Night,False,False,0,0
"37.01,-113.67",37.01,-113.67,80+,Night,False,True,0,0
"37.01,-113.67",37.01,-113.67,< 80,Night,True,True,0,0
"37.01,-113.67",37.01,-113.67,< 80,Night,True,False,0,0
"37.01,-113.67",37.01,-113.67,<= 32,Night,False,True,0,0
"37.01,-113.67",37.01,-113.67,< 80,Night,False,False,8,4
"37.03,-110.11",37.03,-110.11,<= 32,Day,True,False,0,0
"37.03,-110.11",37.03,-110.11,80+,Day,False,False,10,5
"37.03,-110.11",37.03,-110.11,< 80,Night,False,False,6,3
"37.03,-110.11",37.03,-110.11,< 80,Day,False,False,8,4
"37.03,-110.11",37.03,-110.11,80+,Night,False,False,0,0
"37.03,-110.11",37.03,-110.11,80+,Night,False,True,0,0
"37.03,-110.11",37.03,-110.11,<= 32,Day,True,True,0,0
"37.03,-110.11",37.03,-110.11,80+,Night,True,False,0,0
"37.03,-110.11",37.03,-110.11,80+,Night,True,True,0,0
"37.03,-110.11",37.03,-110.11,80+,Day,False,True,0,0
"37.03,-110.11",37.03,-110.11,80+,Day,True,False,0,0
"37.03,-110.11",37.03,-110.11,80+,Day,True,True,0,0
"37.03,-110.11",37.03,-110.11,< 80,Night,False,True,0,0
"37.03,-110.11",37.03,-110.11,<= 32,Night,False,False,4,2
"37.03,-110.11",37.03,-110.11,< 80,Night,True,True,0,0
"37.03,-110.11",37.03,-110.11,< 80,Night,True,False,0,0
"37.03,-110.11",37.03,-110.11,<= 32,Day,False,False,0,0
"37.03,-110.11",37.03,-110.11,<= 32,Night,True,True,0,0
"37.03,-110.11",37.03,-110.11,<= 32,Night,True,False,0,0
"37.03,-110.11",37.03,-110.11,<= 32,Day,False,True,0,0
"37.03,-110.11",37.03,-110.11,< 80,Day,True,True,0,0
"37.03,-110.11",37.03,-110.11,< 80,Day,True,False,0,0
"37.03,-110.11",37.03,-110.11,< 80,Day,False,True,0,0
"37.03,-110.11",37.03,-110.11,<= 32,Night,False,True,0,0
"37.03,-112.33",37.03,-112.33,80+,Day,True,True,0,0
"37.03,-112.33",37.03,-112.33,80+,Night,True,True,0,0
"37.03,-112.33",37.03,-112.33,80+,Day,True,False,0,0
"37.03,-112.33",37.03,-112.33,<= 32,Night,True,True,0,0
"37.03,-112.33",37.03,-112.33,<= 32,Night,True,False,0,0
"37.03,-112.33",37.03,-112.33,<= 32,Night,False,True,0,0
"37.03,-112.33",37.03,-112.33,<= 32,Night,False,False,0,0
"37.03,-112.33",37.03,-112.33,< 80,Day,True,True,0,0
"37.03,-112.33",37.03,-112.33,80+,Day,False,False,0,0
"37.03,-112.33",37.03,-112.33,< 80,Day,False,True,0,0
"37.03,-112.33",37.03,-112.33,< 80,Night,True,True,0,0
"37.03,-112.33",37.03,-112.33,< 80,Night,True,False,0,0
"37.03,-112.33",37.03,-112.33,80+,Night,True,False,0,0
"37.03,-112.33",37.03,-112.33,80+,Night,False,False,0,0
"37.03,-112.33",37.03,-112.33,80+,Night,False,True,0,0
"37.03,-112.33",37.03,-112.33,< 80,Night,False,False,4,2
"37.03,-112.33",37.03,-112.33,< 80,Day,True,False,0,0
"37.03,-112.33",37.03,-112.33,< 80,Night,False,True,0,0
"37.03,-112.33",37.03,-112.33,80+,Day,False,True,0,0
"37.03,-112.33",37.03,-112.33,<= 32,Day,False,False,0,0
"37.03,-112.33",37.03,-112.33,<= 32,Day,True,False,0,0
"37.03,-112.33",37.03,-112.33,<= 32,Day,True,True,0,0
"37.03,-112.33",37.03,-112.33,< 80,Day,False,False,6,2
"37.03,-112.33",37.03,-112.33,<= 32,Day,False,True,0,0
"37.03,-112.45",37.03,-112.45,80+,Day,False,False,4,2
"37.03,-112.45",37.03,-112.45,80+,Night,False,True,0,0
"37.03,-112.45",37.03,-112.45,<= 32,Day,True,True,0,0
"37.03,-112.45",37.03,-112.45,80+,Night,True,True,0,0
"37.03,-112.45",37.03,-112.45,80+,Night,False,False,0,0
"37.03,-112.45",37.03,-112.45,< 80,Day,False,False,4,2
"37.03,-112.45",37.03,-112.45,80+,Day,False,True,4,1
"37.03,-112.45",37.03,-112.45,<= 32,Day,True,False,0,0
"37.03,-112.45",37.03,-112.45,<= 32,Day,False,True,0,0
"37.03,-112.45",37.03,-112.45,<= 32,Day,False,False,0,0
"37.03,-112.45",37.03,-112.45,<= 32,Night,True,True,0,0
"37.03,-112.45",37.03,-112.45,<= 32,Night,True,False,0,0
"37.03,-112.45",37.03,-112.45,<= 32,Night,False,False,0,0
"37.03,-112.45",37.03,-112.45,< 80,Day,True,True,0,0
"37.03,-112.45",37.03,-112.45,< 80,Day,True,False,0,0
"37.03,-112.45",37.03,-112.45,< 80,Day,False,True,0,0
"37.03,-112.45",37.03,-112.45,< 80,Night,True,True,0,0
"37.03,-112.45",37.03,-112.45,< 80,Night,True,False,0,0
"37.03,-112.45",37.03,-112.45,<= 32,Night,False,True,2,1
"37.03,-112.45",37.03,-112.45,< 80,Night,False,True,0,0
"37.03,-112.45",37.03,-112.45,< 80,Night,False,False,0,0
"37.03,-112.45",37.03,-112.45,80+,Day,True,True,0,0
"37.03,-112.45",37.03,-112.45,80+,Day,True,False,0,0
"37.03,-112.45",37.03,-112.45,80+,Night,True,False,0,0
"37.03,-112.55",37.03,-112.55,80+,Day,True,True,0,0
"37.03,-112.55",37.03,-112.55,< 80,Day,False,False,2,1
"37.03,-112.55",37.03,-112.55,80+,Day,True,False,0,0
"37.03,-112.55",37.03,-112.55,<= 32,Day,False,False,0,0
"37.03,-112.55",37.03,-112.55,80+,Day,False,False,4,2
"37.03,-112.55",37.03,-112.55,80+,Night,True,False,0,0
"37.03,-112.55",37.03,-112.55,<= 32,Day,False,True,0,0
"37.03,-112.55",37.03,-112.55,80+,Night,False,True,0,0
"37.03,-112.55",37.03,-112.55,<= 32,Night,True,False,0,0
"37.03,-112.55",37.03,-112.55,<= 32,Night,False,True,0,0
"37.03,-112.55",37.03,-112.55,<= 32,Night,False,False,0,0
"37.03,-112.55",37.03,-112.55,< 80,Day,True,True,0,0
"37.03,-112.55",37.03,-112.55,<= 32,Day,True,True,0,0
"37.03,-112.55",37.03,-112.55,< 80,Day,True,False,0,0
"37.03,-112.55",37.03,-112.55,80+,Night,True,True,0,0
"37.03,-112.55",37.03,-112.55,< 80,Night,True,True,0,0
"37.03,-112.55",37.03,-112.55,< 80,Night,True,False,0,0
"37.03,-112.55",37.03,-112.55,< 80,Night,False,True,0,0
"37.03,-112.55",37.03,-112.55,< 80,Night,False,False,0,0
"37.03,-112.55",37.03,-112.55,80+,Day,False,True,0,0
"37.03,-112.55",37.03,-112.55,<= 32,Day,True,False,0,0
"37.03,-112.55",37.03,-112.55,<= 32,Night,True,True,0,0
"37.03,-112.55",37.03,-112.55,< 80,Day,False,True,0,0
"37.03,-112.55",37.03,-112.55,80+,Night,False,False,0,0
"37.03,-113.01",37.03,-113.01,< 80,Night,False,False,8,4
"37.03,-113.01",37.03,-113.01,80+,Day,False,True,0,0
"37.03,-113.01",37.03,-113.01,< 80,Day,False,True,0,0
"37.03,-113.01",37.03,-113.01,< 80,Day,True,True,0,0
"37.03,-113.01",37.03,-113.01,<= 32,Night,True,False,0,0
